Epochs,Fan2,Fan2-std,Fan4,Fan4-std,Mistakes
20,1.9685825765966634,0.1769718083140032,1.2368506376223525,0.11356125001528343,2.3333333333333335
21,1.8880922365318662,0.22196095466867746,1.2183724883587501,0.10955423357503725,2.0
22,2.0830244944954175,0.15062283084923447,1.2277652465692501,0.07986216125932155,1.0
23,1.8791695398491381,0.06838136162303757,1.1868313310001135,0.03248639729262433,1.0
24,1.7334134749867112,0.14831588191991074,1.2185377626090712,0.06407315520473225,0.0
25,1.7129886962582759,0.18997499724107092,1.2864698705605633,0.03271395979754334,0.0
26,1.8417358873831822,0.2275581890687207,1.2819584656228091,0.0662857194218787,0.0
27,1.903735488384723,0.2092714850301484,1.2725099807559292,0.07814604569369701,0.0
28,2.0095281958378943,0.19077149546167346,1.2534984507396907,0.06835061011671867,0.0
29,1.8856597254472567,0.23401492397213058,1.2286934534041922,0.08752018989451099,0.0
