Word,Dot_product,Location_fan,Model_seed,n_epochs,List
kapel,0.6973612904548645,True,50,65,3
firma,0.7501979470252991,True,50,65,3
bus,0.7506551146507263,True,50,65,3
sacristie,0.9487370252609253,True,50,65,3
montagehal,1.0388230085372925,True,50,65,3
woud,1.6696010828018188,True,50,65,3
trein,0.8136845827102661,True,50,65,3
bioscoop,1.3651920557022095,True,50,65,3
filmhuis,1.5497673749923706,True,50,65,3
kloof,1.4719994068145752,True,50,65,3
supermarkt,1.4234018325805664,True,23,65,5
park,1.154462218284607,True,23,65,5
serre,2.292210102081299,True,23,65,5
campus,0.9248608350753784,True,23,65,5
luchtballon,0.9201503396034241,True,23,65,5
vliegtuig,1.2000566720962524,True,23,65,5
plantenkas,1.1576427221298218,True,23,65,5
bioscoop,1.2996776103973389,True,23,65,5
helikopter,1.3827860355377197,True,23,65,5
crypte,0.8750324845314026,True,23,65,5
gehucht,1.454817771911621,True,23,65,5
universiteit,0.9595659375190735,True,23,65,5
plaatsje,-0.5178764462471008,True,23,65,5
theater,1.4574068784713745,True,23,65,5
kapel,0.5806382894515991,True,23,65,5
terras,1.2767298221588135,True,23,65,5
straaljager,1.1637204885482788,True,23,65,5
basiliek,1.542049527168274,True,23,65,5
stadje,0.845614492893219,True,23,65,5
winkel,1.9369187355041504,True,23,65,5
dorp,0.612816333770752,True,23,65,5
duinen,1.5852885246276855,True,23,65,5
tuin,0.9217948913574219,True,23,65,5
sacristie,1.052816390991211,True,23,65,5
supermarkt,0.9460808038711548,True,40,65,5
park,1.3652633428573608,True,40,65,5
serre,1.354918122291565,True,40,65,5
campus,2.0510659217834473,True,40,65,5
luchtballon,1.9868401288986206,True,40,65,5
vliegtuig,1.5807007551193237,True,40,65,5
plantenkas,0.7281786203384399,True,40,65,5
bioscoop,1.9355136156082153,True,40,65,5
helikopter,0.46186113357543945,True,40,65,5
crypte,0.8238747119903564,True,40,65,5
gehucht,1.983229398727417,True,40,65,5
universiteit,1.2748905420303345,True,40,65,5
plaatsje,0.3938857316970825,True,40,65,5
theater,1.8537698984146118,True,40,65,5
kapel,0.3123951554298401,True,40,65,5
terras,0.9402343034744263,True,40,65,5
straaljager,1.2605334520339966,True,40,65,5
basiliek,1.7632712125778198,True,40,65,5
stadje,1.0771241188049316,True,40,65,5
winkel,2.049013614654541,True,40,65,5
dorp,0.11330249905586243,True,40,65,5
duinen,2.5430402755737305,True,40,65,5
tuin,0.9359918236732483,True,40,65,5
sacristie,1.0981025695800781,True,40,65,5
supermarkt,0.5957350730895996,True,50,65,5
park,1.86396324634552,True,50,65,5
serre,2.062778949737549,True,50,65,5
campus,1.8955668210983276,True,50,65,5
luchtballon,2.0232183933258057,True,50,65,5
vliegtuig,0.6993286609649658,True,50,65,5
plantenkas,0.871180534362793,True,50,65,5
bioscoop,1.0550007820129395,True,50,65,5
helikopter,0.9346821904182434,True,50,65,5
crypte,1.3252893686294556,True,50,65,5
gehucht,0.8575915098190308,True,50,65,5
universiteit,0.8599538207054138,True,50,65,5
plaatsje,1.4000707864761353,True,50,65,5
theater,1.0191761255264282,True,50,65,5
kapel,0.7452714443206787,True,50,65,5
terras,1.4013402462005615,True,50,65,5
straaljager,0.9829509258270264,True,50,65,5
basiliek,1.0845214128494263,True,50,65,5
stadje,1.2749500274658203,True,50,65,5
winkel,2.192622184753418,True,50,65,5
dorp,0.6253238916397095,True,50,65,5
duinen,1.615177035331726,True,50,65,5
tuin,0.7188928723335266,True,50,65,5
sacristie,1.7039374113082886,True,50,65,5
winkel,1.1374064683914185,True,23,65,7
stadje,1.114687442779541,True,23,65,7
serre,1.983520269393921,True,23,65,7
firma,0.9996423125267029,True,23,65,7
