Lists,Fan2,Fan4,Fan2greater,Droprate,Training,Mistakes_Epochs_0,Mistakes_Epochs_65
1,1.2412253702479195,1.592461546304086,False,0,False,23.0,0
3,1.4670531599581333,1.874949780800451,False,0,False,23.333333333333332,0
5,2.8110836406347746,1.635366199114431,True,0,False,22.666666666666668,0
7,1.6467144200998138,1.6913909349855127,False,0,False,22.666666666666668,0
9,2.0121832350688766,1.0508836221059255,True,0,False,23.333333333333332,0
11,1.698284076258301,1.555144417723712,True,0,False,23.666666666666668,0
13,1.542292546212434,1.6454621653569954,False,0,False,23.0,0
15,1.9158151192079078,1.3728197647368006,True,0,False,23.666666666666668,0
17,1.441685704556365,1.9298907192843746,False,0,False,23.666666666666668,0
19,1.8606645586388897,1.2453130853471748,True,0,False,22.666666666666668,0
21,0.9145162144785217,1.8086662603729184,False,0,False,21.333333333333332,0
23,1.3898117188784074,1.8341701861580304,False,0,False,23.333333333333332,0
25,1.892910570879538,1.8732589095629844,True,0,False,23.0,0
27,2.042043368063628,1.3905711256697866,True,0,False,24.0,0
29,1.617819263020912,1.3703849182573549,True,0,False,23.0,0
31,2.25945828579839,1.6200918552575103,True,0,False,22.333333333333332,0
33,1.5841380643767706,1.7838450641170236,False,0,False,23.0,0
35,0.989665496205051,1.315167245186626,False,0,False,24.0,0
37,1.7163973311382126,2.079745006168643,False,0,False,23.0,0
39,1.1489864159795236,1.9695285573090207,False,0,False,23.0,0
41,1.7539116686319403,2.1663893099983627,False,0,False,22.666666666666668,0
43,1.3963189923313848,1.4253367009837272,False,0,False,23.666666666666668,0
45,1.7942883413083943,1.4391793016143235,True,0,False,23.666666666666668,0
47,1.5529107479798387,1.800245292914792,False,0,False,22.333333333333332,0
49,1.2193763607290975,2.08607290355651,False,0,False,22.333333333333332,0
51,2.23762230299886,1.2793289951158158,True,0,False,23.333333333333332,0
53,1.137831627278039,1.438755323686708,False,0,False,24.0,0
55,1.4134039658852013,1.365799051441013,True,0,False,23.666666666666668,0
57,2.379144371529181,1.7054625443059421,True,0,False,21.666666666666668,0
59,1.3107613382970384,1.9093158782569162,False,0,False,22.666666666666668,0
61,1.6781746500281087,1.7132790427453908,False,0,False,23.333333333333332,0
63,0.6743236237314931,1.2181600258174132,False,0,False,23.0,0
65,1.4126682446447603,1.950425531601915,False,0,False,22.666666666666668,0
67,1.2416141247796606,1.7677516518580507,False,0,False,23.666666666666668,0
69,1.8094944845683965,1.7907875737905594,True,0,False,23.0,0
71,1.5588324259765538,1.8425614761297993,False,0,False,23.0,0
73,1.8663641124762687,1.9157555106050115,False,0,False,22.333333333333332,0
75,1.9485657634633373,1.1048384158670994,True,0,False,23.333333333333332,0
77,1.8726430167863857,1.996259895040104,False,0,False,23.0,0
79,1.0143468315201591,1.8462287801116797,False,0,False,23.333333333333332,0
81,2.011232265934109,1.4503231584514271,True,0,False,23.666666666666668,0
83,2.1802876502074393,1.6435345181218128,True,0,False,22.666666666666668,0
85,2.3737676823931526,1.830237911512836,True,0,False,22.333333333333332,0
87,2.390949778611222,1.1954766177060794,True,0,False,22.666666666666668,0
89,1.3047766724710754,1.2749066172044194,True,0,False,22.333333333333332,0
91,2.2374474974768948,1.2099719401868771,True,0,False,23.0,0
93,1.2407280278501502,1.9369552717575895,False,0,False,23.333333333333332,0
95,1.4284000773557863,1.538235446868225,False,0,False,23.333333333333332,0
97,1.0605980214151334,2.071068287403394,False,0,False,23.666666666666668,0
99,1.4159966605203937,1.7867325783816568,False,0,False,23.333333333333332,0
mean,1.6421905977776368,1.6467697383370963,False,0,False,23.053333333333335,0
std,0.4406066559242977,0.2864837037418711,True,0,False,0.5670978751503132,0
1,3.0598615479764932,2.8142518062357365,True,0.0,True,0,0.6666666666666666
3,3.0094501224455827,2.7765853781052026,True,0.0,True,0,0.0
5,3.103496898938973,2.6987456682868394,True,0.0,True,0,0.0
7,2.910508910546461,2.879107303814516,True,0.0,True,0,0.3333333333333333
9,3.0346362439093584,2.677821426383912,True,0.0,True,0,0.0
11,2.906251035362243,2.773212636821561,True,0.0,True,0,0.6666666666666666
13,2.8825221431550974,2.8572002638344225,True,0.0,True,0,0.6666666666666666
15,3.2204596037464928,2.6970756342433484,True,0.0,True,0,0.3333333333333333
17,2.982592747588713,2.841191715602834,True,0.0,True,0,0.0
19,2.8437336332894954,2.794604809603518,True,0.0,True,0,0.3333333333333333
21,2.820674340726125,2.903753156194845,False,0.0,True,0,0.6666666666666666
23,2.9610663140612434,2.785342002019047,True,0.0,True,0,0.0
25,2.9661958488124203,2.7938672242692038,True,0.0,True,0,0.3333333333333333
27,3.074845999210834,2.7677471709547037,True,0.0,True,0,0.0
29,3.02174158119138,2.8064979499714453,True,0.0,True,0,0.6666666666666666
31,2.9672614854869837,2.8113189250029715,True,0.0,True,0,0.0
33,2.955828490088144,2.779952611216001,True,0.0,True,0,0.3333333333333333
35,2.871876269310474,2.7716902031051704,True,0.0,True,0,0.3333333333333333
37,3.028719760209083,2.869810551405542,True,0.0,True,0,0.3333333333333333
39,2.9759960656163686,2.6932210950600695,True,0.0,True,0,0.0
41,2.8775550832149976,2.8645195762736195,True,0.0,True,0,0.0
43,3.0953892292874645,2.780394463220993,True,0.0,True,0,0.0
45,2.8854065137403797,2.833453369296434,True,0.0,True,0,0.3333333333333333
47,2.941807932883262,2.7991404209395343,True,0.0,True,0,0.0
49,3.114706735789537,2.7641509424693975,True,0.0,True,0,0.3333333333333333
51,2.9931081009206766,2.7690912997769903,True,0.0,True,0,0.0
53,2.861317087938149,2.7803331355466705,True,0.0,True,0,0.3333333333333333
55,2.945760627319176,2.7637493251725296,True,0.0,True,0,0.3333333333333333
57,3.027517522106329,2.7920090839065703,True,0.0,True,0,0.0
59,3.1925285381374353,2.81627710757629,True,0.0,True,0,0.0
61,3.0409468471802863,2.8293285721091026,True,0.0,True,0,0.0
63,2.9494862963554853,2.854580561051527,True,0.0,True,0,0.0
65,3.0841062736806863,2.865044941236336,True,0.0,True,0,0.0
67,2.9218719996310862,2.832037182877222,True,0.0,True,0,0.0
69,2.8736725508965644,2.868410259216785,True,0.0,True,0,0.0
71,3.0308533854581508,2.8788767701124245,True,0.0,True,0,0.0
73,2.9937343383627724,2.884520419708317,True,0.0,True,0,0.3333333333333333
75,2.8546786429780315,2.778166075279076,True,0.0,True,0,0.0
77,2.927017566789944,2.8112209685825316,True,0.0,True,0,0.3333333333333333
79,3.101751057251339,2.7959415452043306,True,0.0,True,0,0.3333333333333333
81,3.0693937661546062,2.6497111781920086,True,0.0,True,0,0.0
83,2.880199831952412,2.749134411146004,True,0.0,True,0,0.0
85,3.0771790566342663,2.838537055068307,True,0.0,True,0,0.6666666666666666
87,2.83494512958304,2.775413688169346,True,0.0,True,0,0.3333333333333333
89,2.8170231466290945,2.922066054969787,False,0.0,True,0,0.0
91,2.9293642215229663,2.7559392812771195,True,0.0,True,0,0.0
93,2.9450476463150856,2.8879895290779665,True,0.0,True,0,0.6666666666666666
95,2.8509085821407627,2.809870649481574,True,0.0,True,0,0.0
97,2.9670560506281847,2.863894373986217,True,0.0,True,0,0.3333333333333333
99,3.0045302507576936,2.8656992487408313,True,0.0,True,0,0.0
mean,2.9737316610782365,2.8054499804359345,True,0.0,True,0,0.2
std,0.09475185709951367,0.059120362584844224,True,0.0,True,0,0.24037008503093266
