Word,ACT_R_activation,Location_fan,List
appartement,122.35758316503852,True,43
gieterij,127.97256151639166,True,43
duinen,138.20789621749978,True,43
firma,131.9539400992133,True,43
theater,120.61567418264887,True,43
park,124.87321012944838,True,43
moskee,127.49883287509623,True,43
supermarkt,129.9044567883551,True,43
bus,127.05466511902195,True,43
woning,131.01661685187585,True,43
boetiek,122.449871599129,True,43
trein,123.54309038630372,True,45
plantenkas,123.13733460586843,True,45
tram,123.31418197829602,True,45
basiliek,121.45983819563745,True,45
gieterij,129.3435744546201,True,45
metro,135.6076560974765,True,45
appartement,123.39003807301566,True,45
graafmachine,121.98863460828699,True,45
crypte,125.4641086388343,True,45
bos,128.30063505271784,True,45
fabriek,125.48926550584035,True,45
woud,131.12386470204146,True,45
serre,125.00231594048783,True,45
woning,122.81849390867288,True,45
faculteit,131.2535208561908,True,45
pand,118.99055976439614,True,45
kapel,123.97748291600367,True,45
huis,118.29025234427783,True,45
sacristie,126.5362594143581,True,45
truck,126.07624862478025,True,45
bus,123.6411838245651,True,45
kiepwagen,130.29971673117245,True,45
universiteit,132.06574861715103,True,45
bulldozer,130.01435081493852,True,45
camper,135.3707052456825,True,47
trein,120.27247748238429,True,47
campus,129.8091494585748,True,47
woning,129.83063417205398,True,47
hut,125.8175585834656,True,47
burcht,125.89502340294992,True,47
fabriek,127.67833986453634,True,47
vesting,128.02779026396456,True,47
firma,137.45982274244025,True,47
metro,128.16314195040246,True,47
ravijn,132.04665931212466,True,47
greppel,128.2361539482827,True,47
theater,122.16510503162976,True,47
huis,118.60279948957285,True,47
cinema,128.4593386903766,True,47
appartement,124.30201215934053,True,47
filmhuis,134.80790892500357,True,47
bioscoop,120.85645535547422,True,47
universiteit,127.75664116994136,True,47
faculteit,128.57575856825326,True,47
bus,121.30381140529154,True,47
tram,120.10721870826322,True,47
hogeschool,129.4726772219536,True,47
pand,121.9804743737928,True,47
gieterij,125.61980672374789,True,49
tuin,120.97847407721773,True,49
ravijn,138.89354576621773,True,49
camper,135.90323753508005,True,49
cinema,124.70259230749008,True,49
supermarkt,134.26412051955222,True,49
fabriek,122.95973002690856,True,49
plantenkas,123.04662765912371,True,49
campus,125.5537781861118,True,49
kloof,135.79068078063628,True,49
universiteit,128.41384555679204,True,49
terras,125.40965611190136,True,49
filmhuis,135.045067660173,True,49
hogeschool,130.12631905742955,True,49
montagehal,121.19390846646249,True,49
theater,123.41249423293688,True,49
bioscoop,120.22381153041616,True,49
sacristie,126.08314592797036,True,49
crypte,124.90360324647266,True,49
faculteit,127.80778970274491,True,49
serre,123.5006949490711,True,49
caravan,130.67449298552035,True,49
firma,130.2690425615226,True,49
boetiek,124.45474689292057,True,49
fabriek,121.84309859780848,True,51
cinema,128.53420189232514,True,51
universiteit,130.80705735205257,True,51
bioscoop,119.97839916427964,True,51
trein,122.38345539150966,True,51
winkel,125.03832892130885,True,51
supermarkt,128.90901682229423,True,51
kiepwagen,135.90253128037048,True,51
boetiek,122.57478346065906,True,51
campus,127.81955668988377,True,51
bus,123.5415213662431,True,51
fort,129.24967189772696,True,51
pand,122.57957090310678,True,51
huis,120.97108628886454,True,51
montagehal,120.6000737570607,True,51
warenhuis,121.70105253766162,True,51
gieterij,126.37637961613248,True,51
tram,121.03466546496536,True,51
graafmachine,128.9909413629208,True,51
filmhuis,135.08867387183187,True,51
metro,127.96806937955522,True,51
firma,133.27857457026357,True,51
vesting,130.42990633990306,True,51
theater,120.40245153464325,True,51
cinema,131.27628458541272,True,53
stadje,123.33057427978368,True,53
gehucht,125.4782817621336,True,53
montagehal,122.9122738045133,True,53
hogeschool,134.05306664090378,True,53
fabriek,125.89253150533955,True,53
winkel,126.90106744410944,True,53
faculteit,131.83603943627142,True,53
supermarkt,128.55200140978346,True,53
universiteit,129.12175626078064,True,53
caravan,129.66573934074498,True,53
camper,136.59375659608185,True,53
plaatsje,125.78399026248029,True,53
bus,119.84875424494659,True,53
metro,127.0159548857164,True,53
tram,118.96875035242729,True,53
boetiek,124.45297986255859,True,53
campus,124.75897903523241,True,53
dorp,120.21204293057056,True,53
theater,123.94332740472369,True,53
duinen,135.33152701137678,True,53
warenhuis,126.8712577081545,True,53
trein,119.7492395431424,True,53
park,123.01431453004646,True,53
campus,123.74543577804795,True,55
winkel,120.65130961433894,True,55
universiteit,126.8685153963708,True,55
hogeschool,132.10505858355538,True,55
supermarkt,129.5268148861719,True,55
montagehal,121.55456584226702,True,55
truck,134.3015088394131,True,55
faculteit,126.81889460305766,True,55
firma,129.5895580967674,True,55
pand,122.25245231187041,True,55
woning,127.17445940902779,True,55
plantenkas,125.64125617437664,True,55
warenhuis,125.74907309769598,True,55
boetiek,122.12194713341096,True,55
heiligdom,128.22685270141832,True,55
appartement,123.09036870357167,True,55
tempel,122.3890846766311,True,55
huis,117.92050223165617,True,55
bioscoop,124.50636858190433,True,55
serre,123.29344861049161,True,55
kiepwagen,138.36930335574056,True,55
cinema,129.4970918410102,True,55
gieterij,122.15973418395039,True,55
fabriek,119.90937226960955,True,55
appartement,125.9363912136638,True,57
universiteit,126.43710889525538,True,57
filmhuis,133.35314071817257,True,57
ravijn,129.4665946123516,True,57
park,122.94635538283076,True,57
pand,123.94016260419156,True,57
tram,125.60151753401787,True,57
luchtballon,124.71243999679,True,57
cinema,125.72336532100356,True,57
woning,130.28800571354378,True,57
helikopter,122.93757258969008,True,57
bos,127.13490445533984,True,57
moskee,127.72469406002395,True,57
campus,130.0388150159456,True,57
afgrond,131.3007076108573,True,57
vliegtuig,124.61600337361114,True,57
straaljager,129.6268347064009,True,57
metro,126.37903632306406,True,57
hogeschool,130.64573544097635,True,57
huis,120.10978982910677,True,57
theater,120.86293413433604,True,57
tempel,120.72351420833294,True,57
bioscoop,119.60482913033525,True,57
faculteit,128.13927981417785,True,57
firma,135.02104198471895,True,59
bus,123.7848945392345,True,59
duinen,134.85045500391004,True,59
metro,130.1009463503609,True,59
bioscoop,119.06421785977152,True,59
moskee,126.32352658837866,True,59
synagoge,123.65639230055703,True,59
heiligdom,124.46444603386476,True,59
trein,121.35941130991729,True,59
tempel,119.71884523279189,True,59
afgrond,130.5177505678299,True,59
caravan,130.74366741139565,True,59
gieterij,130.39977350299839,True,59
hogeschool,133.91507924398223,True,59
fabriek,124.3714566941606,True,59
cinema,123.97580379831868,True,59
theater,120.00253864795143,True,59
campus,126.90766641790265,True,59
montagehal,119.40326798458196,True,59
hut,126.7204318848016,True,59
tram,122.66607954324886,True,59
kloof,133.85974632195627,True,59
filmhuis,131.8717765544603,True,59
bos,129.38952343959937,True,59
campus,127.37361194480195,True,61
pand,120.87114051189513,True,61
serre,123.21894807578018,True,61
supermarkt,130.05634313582502,True,61
metro,130.76376207055264,True,61
fabriek,122.03421051688483,True,61
trein,124.22606683905451,True,61
camper,131.70644386683384,True,61
huis,116.53614080358963,True,61
firma,132.86436839542694,True,61
montagehal,121.24761808313005,True,61
hut,125.63356234984667,True,61
appartement,121.9428195475169,True,61
plantenkas,123.98400783793039,True,61
bus,122.65641733854815,True,61
woning,128.14656065017903,True,61
tram,122.74595473926672,True,61
bioscoop,121.52283902987688,True,61
gieterij,128.53389849687665,True,61
hogeschool,134.444784168313,True,61
cinema,128.34957676721484,True,61
filmhuis,135.61045822135907,True,61
theater,124.32718921587261,True,61
winkel,123.25758586848559,True,61
universiteit,131.05843978974127,True,63
firma,130.02838825409262,True,63
basiliek,122.92106845683546,True,63
trein,123.91848042868064,True,63
warenhuis,124.45232339665344,True,63
supermarkt,130.87568630893776,True,63
theater,120.9842797676979,True,63
gieterij,127.70058683841624,True,63
fabriek,122.64434210735199,True,63
tram,122.67381052906259,True,63
tent,123.72238645286227,True,63
winkel,126.35666187920494,True,63
bioscoop,119.67041129254875,True,63
camper,133.4549008795104,True,63
gehucht,130.45030916583923,True,63
cinema,127.44381357058629,True,63
boetiek,123.44128209679245,True,63
hogeschool,133.64688580608086,True,63
stadje,126.08419144541465,True,63
filmhuis,132.86195223904085,True,63
hut,124.29156654991017,True,63
montagehal,120.85601565260771,True,63
sacristie,128.75179819623918,True,63
caravan,128.75215550708714,True,63
gieterij,130.3345142054358,True,65
hogeschool,130.10004307291314,True,65
kloof,134.37436097201893,True,65
supermarkt,129.9734216334761,True,65
bus,125.50776575027288,True,65
bioscoop,117.14186178668777,True,65
afgrond,132.3554601670972,True,65
winkel,126.08986855775544,True,65
basiliek,120.66970783837806,True,65
fabriek,123.78513821545502,True,65
cinema,124.93489820974798,True,65
filmhuis,132.66103837575727,True,65
boetiek,122.04681728992088,True,65
tram,121.99194456319773,True,65
crypte,130.07467411534188,True,65
faculteit,129.01321409230505,True,65
warenhuis,124.545980722758,True,65
trein,123.4986937669236,True,65
metro,127.58619679732894,True,65
tuin,126.29959978398185,True,65
terras,125.82253497584176,True,65
firma,131.86600127164454,True,65
montagehal,121.44416323290932,True,65
theater,120.15894047271931,True,65
theater,118.73604082023573,True,67
cinema,125.42425539416544,True,67
kiepwagen,135.49895060646313,True,67
faculteit,129.75961800283542,True,67
trein,123.38948190311119,True,67
montagehal,121.26541992212908,True,67
kapel,121.4918269224289,True,67
warenhuis,125.14250946641556,True,67
winkel,127.09491223207037,True,67
bioscoop,118.54202144408006,True,67
filmhuis,134.16152029957337,True,67
universiteit,131.39801984375865,True,67
graafmachine,129.54597204819873,True,67
bus,124.40504901874436,True,67
crypte,126.530665131938,True,67
supermarkt,132.0383956380276,True,67
basiliek,118.57967185633419,True,67
firma,134.19317669011534,True,67
terras,125.59669771647528,True,67
sacristie,125.13960868081404,True,67
metro,129.2219004960436,True,67
tuin,125.23959065406906,True,67
tram,122.79601118633158,True,67
boetiek,122.97007409560716,True,67
dorp,116.8567970766937,True,69
afgrond,126.53171823759413,True,69
gieterij,130.56552962959975,True,69
terras,122.43977169808122,True,69
serre,124.33963357140371,True,69
bioscoop,120.4154906275535,True,69
filmhuis,135.46982937960962,True,69
tuin,123.16562491077327,True,69
tram,126.6837317849652,True,69
plaatsje,125.19350159947933,True,69
stadje,121.7230939032289,True,69
campus,132.0364018535586,True,69
kloof,135.2571802161315,True,69
cinema,133.34064457002643,True,69
trein,122.81171411415075,True,69
firma,136.87714415770438,True,69
universiteit,134.66126065823198,True,69
gehucht,125.1753943667684,True,69
truck,126.0791531683497,True,69
kiepwagen,131.69863745820348,True,69
graafmachine,123.83670445740619,True,69
bulldozer,127.8991155529906,True,69
theater,122.71382604615721,True,69
plantenkas,125.23999457898105,True,69
supermarkt,130.1716023473387,True,71
woud,135.8750957280615,True,71
woning,129.04529181572005,True,71
synagoge,122.88509109776594,True,71
montagehal,122.38674791482207,True,71
duinen,134.4364162318543,True,71
bioscoop,121.32069281579629,True,71
truck,127.64514075157241,True,71
moskee,125.7726097866797,True,71
warenhuis,125.08635510828265,True,71
bulldozer,133.44585557139234,True,71
graafmachine,124.68453683555262,True,71
firma,134.0964939134218,True,71
