Lists,Fan2,Fan4,Fan2greater,Drop,Training
2,1.2589479960488474,1.2231350296504684,True,0,False
4,1.2296753924414179,1.2276437796942965,True,0,False
6,1.2514328731677582,1.2119193333312348,True,0,False
8,1.2682624493283627,1.2163756166741733,True,0,False
10,1.2383531713536446,1.2324585710634697,True,0,False
12,1.2437764524012123,1.2330895963104007,True,0,False
14,1.2722921862441843,1.2121405594822399,True,0,False
16,1.2702912857098312,1.2506630207648382,True,0,False
18,1.2424958846419143,1.2257505886613644,True,0,False
20,1.2499431350385009,1.2202400254282866,True,0,False
22,1.258171367404272,1.217477991243145,True,0,False
24,1.2338573923546023,1.2431624227476272,False,0,False
26,1.2712887954133203,1.212273899438968,True,0,False
28,1.2454013798074421,1.221809011799445,True,0,False
30,1.2370940483025756,1.2178586021734916,True,0,False
32,1.2411851279728356,1.2164362833599622,True,0,False
34,1.2628955837206561,1.2163684837147586,True,0,False
36,1.2586987184554088,1.2166899213105724,True,0,False
38,1.2742841715509428,1.2351570346584149,True,0,False
40,1.2414760187210898,1.2329934570533116,True,0,False
42,1.244863948359738,1.2310679857090514,True,0,False
44,1.275132718646916,1.222129296062707,True,0,False
46,1.2667436054511223,1.210879336755664,True,0,False
48,1.2696669232014703,1.2116912216966695,True,0,False
50,1.254983650656174,1.2139665496052392,True,0,False
52,1.2851971478368758,1.2149656733705059,True,0,False
54,1.2400252036639074,1.2096169541730633,True,0,False
56,1.2320023484167524,1.2116640452859433,True,0,False
58,1.259649361301248,1.2012602245466564,True,0,False
60,1.219682480762282,1.2394432585662476,False,0,False
average,1.253259027279177,1.2216775924777403,True,0,False
