Lists,Fan2,Fan4,Fan2greater,Droprate,Training,Mistakes_Epochs_0,Mistakes_Epochs_65
90,0.9280323305121404,1.7373339077877592,False,0,False,23.333333333333332,0
92,1.6625834433781694,0.9427498834006579,True,0,False,24.0,0
94,0.8556490512984586,1.956586740720157,False,0,False,21.333333333333332,0
96,1.8060808827899488,1.3418658518574602,True,0,False,23.666666666666668,0
98,1.5786755461044701,1.7210932273721102,False,0,False,22.333333333333332,0
100,0.9539134179972203,1.432687721878051,False,0,False,22.666666666666668,0
mean,1.311284351099043,1.4195786576144487,False,0,False,23.033333333333335,0
std,0.4043993125467117,0.25786815982168204,True,0,False,0.6641619615057092,0
2,2.794279775003353,2.839614524858454,False,0.0,True,0,0.0
4,3.15278643467005,2.6586582092988085,True,0.0,True,0,0.0
6,2.966030607352415,2.7613293516170945,True,0.0,True,0,0.0
8,2.8366546640592407,2.8988044133829662,False,0.0,True,0,0.3333333333333333
10,2.845492106904347,2.7793310188797706,True,0.0,True,0,0.0
12,2.980953000217437,2.787096705019235,True,0.0,True,0,0.0
14,2.9636331644949907,2.789615432773788,True,0.0,True,0,0.0
16,3.1553619401949238,2.7769637788134407,True,0.0,True,0,0.0
18,2.7888543503778767,2.8207995969601067,False,0.0,True,0,0.0
20,2.9791551353829693,2.802479852032919,True,0.0,True,0,0.0
22,3.0372408278085383,2.733447272682944,True,0.0,True,0,0.0
24,2.957630986700216,2.7614967682922145,True,0.0,True,0,0.3333333333333333
26,2.739418027033169,2.869395926947156,False,0.0,True,0,0.0
28,3.10138255579249,2.6894452333249244,True,0.0,True,0,0.0
30,2.783954893280823,2.7719184393482994,True,0.0,True,0,0.0
32,2.692776186744133,2.87504743742298,False,0.0,True,0,0.0
34,3.066862384209791,2.69922097807602,True,0.0,True,0,0.0
36,2.8088049153285812,2.8397482239750618,False,0.0,True,0,0.0
38,2.8260953398841213,2.833292843402021,False,0.0,True,0,0.3333333333333333
40,2.9179543800450953,2.801883987193067,True,0.0,True,0,0.0
42,3.0301324151255282,2.759115056176741,True,0.0,True,0,0.0
