Word,Dot_product,Location_fan,Model_seed,n_epochs,List
admiraal,0.789014577865601,False,50,65,4
advocaat,0.819734871387482,False,50,65,4
kolonel,0.961870670318604,False,50,65,4
notaris,0.845875203609467,False,50,65,4
kluizenaar,1.09450650215149,False,50,65,4
wetenschapper,1.9550541639328,False,50,65,4
raadsman,1.62211871147156,False,50,65,4
graficus,1.29568767547607,False,50,65,4
dokter,0.926051437854767,False,50,65,4
monnik,1.11940252780914,False,50,65,4
notaris,0.526209354400635,False,23,65,6
loodgieter,1.0964367389679,False,23,65,6
soldaat,0.653383195400238,False,23,65,6
kapitein,1.76219236850739,False,23,65,6
onderzoeker,0.99298095703125,False,23,65,6
elektricien,1.34928870201111,False,23,65,6
zanger,1.57414793968201,False,23,65,6
jager,1.1113258600235,False,23,65,6
deejay,1.74036026000977,False,23,65,6
kelner,0.848280906677246,False,23,65,6
procureur,1.77799880504608,False,23,65,6
internist,1.50388848781586,False,23,65,6
chirurg,0.745133936405182,False,23,65,6
installateur,1.16588008403778,False,23,65,6
dokter,0.531693756580353,False,23,65,6
artiest,1.42858052253723,False,23,65,6
visser,1.56357598304749,False,23,65,6
ober,1.33067989349365,False,23,65,6
barman,1.11057221889496,False,23,65,6
monteur,0.906989097595215,False,23,65,6
neuroloog,1.68663728237152,False,23,65,6
wetenschapper,1.53962790966034,False,23,65,6
serveerster,0.8742595911026,False,23,65,6
notaris,1.81466400623322,False,40,65,6
loodgieter,0.643420517444611,False,40,65,6
soldaat,1.61622333526611,False,40,65,6
kapitein,2.08263778686523,False,40,65,6
onderzoeker,1.53109276294708,False,40,65,6
elektricien,1.19320976734161,False,40,65,6
zanger,1.51963758468628,False,40,65,6
jager,1.4064359664917,False,40,65,6
deejay,2.00329208374023,False,40,65,6
kelner,1.07987844944,False,40,65,6
procureur,0.989764928817749,False,40,65,6
internist,0.820877373218536,False,40,65,6
chirurg,0.732762336730957,False,40,65,6
installateur,0.789610505104065,False,40,65,6
dokter,0.285087317228317,False,40,65,6
artiest,1.06418037414551,False,40,65,6
visser,1.58643162250519,False,40,65,6
muzikant,0.728261470794678,False,40,65,6
ober,0.860466539859772,False,40,65,6
barman,0.972894072532654,False,40,65,6
monteur,1.19383335113525,False,40,65,6
neuroloog,1.9511387348175,False,40,65,6
wetenschapper,1.05233716964722,False,40,65,6
serveerster,0.516823172569275,False,40,65,6
notaris,2.03010725975037,False,50,65,6
loodgieter,1.03641200065613,False,50,65,6
soldaat,0.828250408172607,False,50,65,6
kapitein,1.14020168781281,False,50,65,6
onderzoeker,1.0667712688446,False,50,65,6
elektricien,0.452398866415024,False,50,65,6
zanger,1.46300935745239,False,50,65,6
jager,1.2639445066452,False,50,65,6
deejay,0.936681389808655,False,50,65,6
kelner,1.12009501457214,False,50,65,6
procureur,1.53321814537048,False,50,65,6
internist,0.569270730018616,False,50,65,6
chirurg,1.73209357261658,False,50,65,6
installateur,0.943376302719116,False,50,65,6
dokter,0.888479053974152,False,50,65,6
artiest,1.3636736869812,False,50,65,6
visser,1.31200611591339,False,50,65,6
muzikant,0.55937135219574,False,50,65,6
ober,1.07139933109283,False,50,65,6
barman,1.92210733890533,False,50,65,6
monteur,1.60772061347961,False,50,65,6
neuroloog,1.61041414737701,False,50,65,6
wetenschapper,1.68694221973419,False,50,65,6
serveerster,1.23086750507355,False,50,65,6
kapitein,0.469956338405609,False,23,65,8
goochelaar,1.03589344024658,False,23,65,8
clown,0.684400498867035,False,23,65,8
bakker,1.66939783096313,False,23,65,8
slager,0.706469297409058,False,23,65,8
monteur,1.46471476554871,False,23,65,8
dronkaard,1.85678339004517,False,23,65,8
illustrator,1.61263227462769,False,23,65,8
kloosterling,1.75082528591156,False,23,65,8
graficus,0.889418661594391,False,23,65,8
missionaris,1.33175885677338,False,23,65,8
dokter,1.06790041923523,False,23,65,8
landloper,1.47259485721588,False,23,65,8
chirurg,0.930388808250427,False,23,65,8
schilder,1.03430008888245,False,23,65,8
kruidenier,1.02901005744934,False,23,65,8
monnik,1.32242250442505,False,23,65,8
kluizenaar,0.407280504703522,False,23,65,8
kunstenaar,1.41207039356232,False,23,65,8
internist,1.27429962158203,False,23,65,8
installateur,1.40818643569946,False,23,65,8
neuroloog,1.79599225521088,False,23,65,8
groenteboer,1.86237621307373,False,23,65,8
admiraal,1.20373153686523,False,23,65,8
kapitein,1.44071424007416,False,40,65,8
goochelaar,1.32388520240784,False,40,65,8
clown,1.01579487323761,False,40,65,8
bakker,2.31704115867615,False,40,65,8
slager,1.16009759902954,False,40,65,8
monteur,1.59558761119843,False,40,65,8
dronkaard,1.61623239517212,False,40,65,8
illustrator,1.93857908248901,False,40,65,8
kloosterling,2.27997469902039,False,40,65,8
graficus,1.19124853610992,False,40,65,8
missionaris,0.995514094829559,False,40,65,8
dokter,1.04124248027802,False,40,65,8
landloper,0.594097673892975,False,40,65,8
chirurg,0.578922629356384,False,40,65,8
schilder,0.484628021717072,False,40,65,8
kruidenier,0.814505040645599,False,40,65,8
monnik,1.23800349235535,False,40,65,8
kluizenaar,1.04358470439911,False,40,65,8
kunstenaar,1.08012962341309,False,40,65,8
internist,1.16897761821747,False,40,65,8
installateur,1.38778948783875,False,40,65,8
neuroloog,2.03175282478333,False,40,65,8
groenteboer,1.10256624221802,False,40,65,8
admiraal,0.626022279262543,False,40,65,8
missionaris,1.29530990123749,False,23,65,2
kluizenaar,0.25837653875351,False,23,65,2
dokter,1.20795571804047,False,23,65,2
kloosterling,1.24259531497955,False,23,65,2
stroper,1.3191624879837,False,23,65,2
slager,1.21802878379822,False,23,65,2
kapitein,1.19271016120911,False,23,65,2
acrobaat,1.66457164287567,False,23,65,2
soldaat,0.789486527442932,False,23,65,2
kolonel,1.23825931549072,False,23,65,2
chirurg,1.39199769496918,False,23,65,2
bakker,1.62686657905579,False,23,65,2
klant,1.10757052898407,False,23,65,2
groenteboer,1.06550788879395,False,23,65,2
verkoper,1.15932393074036,False,23,65,2
loodgieter,1.45477426052094,False,23,65,2
jager,0.632853269577026,False,23,65,2
admiraal,1.17113900184631,False,23,65,2
monteur,1.36035454273224,False,23,65,2
goochelaar,0.964256167411804,False,23,65,2
monnik,1.76031982898712,False,23,65,2
neuroloog,0.95521891117096,False,23,65,2
kruidenier,1.16243159770966,False,23,65,2
internist,1.77363550662994,False,40,65,2
missionaris,1.48688435554504,False,40,65,2
kluizenaar,0.175118461251259,False,40,65,2
dokter,1.43619859218597,False,40,65,2
kloosterling,1.6517094373703,False,40,65,2
stroper,1.75019574165344,False,40,65,2
slager,1.3476105928421,False,40,65,2
kapitein,1.51939582824707,False,40,65,2
acrobaat,2.09732007980347,False,40,65,2
soldaat,0.781618118286133,False,40,65,2
kolonel,1.03077065944672,False,40,65,2
chirurg,1.23577272891998,False,40,65,2
bakker,0.557970583438873,False,40,65,2
klant,0.927212595939636,False,40,65,2
groenteboer,0.477246731519699,False,40,65,2
verkoper,1.14870929718018,False,40,65,2
loodgieter,1.55501520633698,False,40,65,2
jager,1.31146097183228,False,40,65,2
admiraal,1.46841144561768,False,40,65,2
monteur,1.82831907272339,False,40,65,2
goochelaar,1.37956440448761,False,40,65,2
monnik,1.86915981769562,False,40,65,2
neuroloog,1.1992392539978,False,40,65,2
kruidenier,0.638840198516846,False,40,65,2
internist,1.39974439144135,False,50,65,2
missionaris,1.87975800037384,False,50,65,2
kluizenaar,0.325103759765625,False,50,65,2
dokter,0.943921327590942,False,50,65,2
kloosterling,1.53514552116394,False,50,65,2
stroper,0.460973918437958,False,50,65,2
slager,1.46377515792847,False,50,65,2
kapitein,0.371005117893219,False,50,65,2
acrobaat,1.14050424098969,False,50,65,2
soldaat,1.18027245998383,False,50,65,2
kolonel,1.41600251197815,False,50,65,2
chirurg,0.629706203937531,False,50,65,2
bakker,1.52139377593994,False,50,65,2
klant,1.21696877479553,False,50,65,2
groenteboer,0.746348083019257,False,50,65,2
verkoper,1.55063962936401,False,50,65,2
loodgieter,1.08981871604919,False,50,65,2
jager,0.844823956489563,False,50,65,2
admiraal,1.73242712020874,False,50,65,2
monteur,1.97022950649261,False,50,65,2
goochelaar,1.54560828208923,False,50,65,2
monnik,1.60661923885345,False,50,65,2
neuroloog,1.27702331542969,False,50,65,2
kruidenier,0.811266839504242,False,50,65,2
procureur,0.353420108556747,False,23,65,4
elektricien,1.01684546470642,False,23,65,4
kloosterling,0.575782418251038,False,23,65,4
denker,2.23871040344238,False,23,65,4
illustrator,0.905323147773743,False,23,65,4
stroper,1.24574327468872,False,23,65,4
internist,1.78654313087463,False,23,65,4
loodgieter,0.94899195432663,False,23,65,4
jager,1.84629273414612,False,23,65,4
schilder,0.881277978420258,False,23,65,4
kunstenaar,0.829981923103333,False,23,65,4
monteur,1.54865336418152,False,23,65,4
missionaris,1.64550316333771,False,23,65,4
installateur,1.13817191123962,False,23,65,4
admiraal,1.2207932472229,False,23,65,4
advocaat,1.10271036624908,False,23,65,4
kolonel,1.67930924892426,False,23,65,4
notaris,0.553074836730957,False,23,65,4
kluizenaar,1.18019151687622,False,23,65,4
wetenschapper,1.43650913238525,False,23,65,4
raadsman,1.72659885883331,False,23,65,4
graficus,1.83470463752747,False,23,65,4
dokter,0.560732364654541,False,23,65,4
monnik,0.860260128974915,False,23,65,4
procureur,1.39804184436798,False,40,65,4
elektricien,1.28881418704987,False,40,65,4
kloosterling,1.79843235015869,False,40,65,4
denker,2.2868185043335,False,40,65,4
illustrator,1.74840867519379,False,40,65,4
stroper,1.56854820251465,False,40,65,4
internist,1.94842350482941,False,40,65,4
loodgieter,1.35091185569763,False,40,65,4
jager,1.6375983953476,False,40,65,4
schilder,0.843117594718933,False,40,65,4
kunstenaar,0.847640514373779,False,40,65,4
monteur,1.99161148071289,False,40,65,4
missionaris,0.750393629074097,False,40,65,4
installateur,0.942152678966522,False,40,65,4
admiraal,0.644622683525085,False,40,65,4
advocaat,0.693611085414887,False,40,65,4
kolonel,1.73929882049561,False,40,65,4
notaris,1.3314117193222,False,40,65,4
kluizenaar,0.940798819065094,False,40,65,4
wetenschapper,1.32459485530853,False,40,65,4
raadsman,1.56376504898071,False,40,65,4
graficus,2.67911124229431,False,40,65,4
dokter,0.760162949562073,False,40,65,4
monnik,0.472141653299332,False,40,65,4
procureur,1.45645809173584,False,50,65,4
elektricien,1.50053668022156,False,50,65,4
kloosterling,0.873796164989471,False,50,65,4
denker,1.56548297405243,False,50,65,4
illustrator,1.7173684835434,False,50,65,4
stroper,0.475033909082413,False,50,65,4
internist,1.78618884086609,False,50,65,4
loodgieter,0.759894013404846,False,50,65,4
jager,0.667176425457001,False,50,65,4
schilder,0.889594793319702,False,50,65,4
kunstenaar,0.95285177230835,False,50,65,4
monteur,0.638736188411713,False,50,65,4
missionaris,2.40257406234741,False,50,65,4
installateur,1.07009041309357,False,50,65,4
admiraal,0.789014577865601,False,50,65,4
advocaat,0.819734871387482,False,50,65,4
kolonel,0.961870670318604,False,50,65,4
notaris,0.845875203609467,False,50,65,4
kluizenaar,1.09450650215149,False,50,65,4
wetenschapper,1.9550541639328,False,50,65,4
raadsman,1.62211871147156,False,50,65,4
graficus,1.29568767547607,False,50,65,4
dokter,0.926051437854767,False,50,65,4
monnik,1.11940252780914,False,50,65,4
notaris,0.526209354400635,False,23,65,6
loodgieter,1.0964367389679,False,23,65,6
soldaat,0.653383195400238,False,23,65,6
kapitein,1.76219236850739,False,23,65,6
onderzoeker,0.99298095703125,False,23,65,6
elektricien,1.34928870201111,False,23,65,6
zanger,1.57414793968201,False,23,65,6
jager,1.1113258600235,False,23,65,6
deejay,1.74036026000977,False,23,65,6
kelner,0.848280906677246,False,23,65,6
procureur,1.77799880504608,False,23,65,6
internist,1.50388848781586,False,23,65,6
chirurg,0.745133936405182,False,23,65,6
installateur,1.16588008403778,False,23,65,6
dokter,0.531693756580353,False,23,65,6
artiest,1.42858052253723,False,23,65,6
visser,1.56357598304749,False,23,65,6
ober,1.33067989349365,False,23,65,6
barman,1.11057221889496,False,23,65,6
monteur,0.906989097595215,False,23,65,6
neuroloog,1.68663728237152,False,23,65,6
wetenschapper,1.53962790966034,False,23,65,6
serveerster,0.8742595911026,False,23,65,6
notaris,1.81466400623322,False,40,65,6
loodgieter,0.643420517444611,False,40,65,6
soldaat,1.61622333526611,False,40,65,6
kapitein,2.08263778686523,False,40,65,6
onderzoeker,1.53109276294708,False,40,65,6
elektricien,1.19320976734161,False,40,65,6
zanger,1.51963758468628,False,40,65,6
jager,1.4064359664917,False,40,65,6
deejay,2.00329208374023,False,40,65,6
kelner,1.07987844944,False,40,65,6
procureur,0.989764928817749,False,40,65,6
internist,0.820877373218536,False,40,65,6
chirurg,0.732762336730957,False,40,65,6
installateur,0.789610505104065,False,40,65,6
dokter,0.285087317228317,False,40,65,6
artiest,1.06418037414551,False,40,65,6
visser,1.58643162250519,False,40,65,6
muzikant,0.728261470794678,False,40,65,6
ober,0.860466539859772,False,40,65,6
barman,0.972894072532654,False,40,65,6
monteur,1.19383335113525,False,40,65,6
neuroloog,1.9511387348175,False,40,65,6
wetenschapper,1.05233716964722,False,40,65,6
serveerster,0.516823172569275,False,40,65,6
notaris,2.03010725975037,False,50,65,6
loodgieter,1.03641200065613,False,50,65,6
soldaat,0.828250408172607,False,50,65,6
kapitein,1.14020168781281,False,50,65,6
onderzoeker,1.0667712688446,False,50,65,6
elektricien,0.452398866415024,False,50,65,6
zanger,1.46300935745239,False,50,65,6
jager,1.2639445066452,False,50,65,6
deejay,0.936681389808655,False,50,65,6
kelner,1.12009501457214,False,50,65,6
procureur,1.53321814537048,False,50,65,6
internist,0.569270730018616,False,50,65,6
chirurg,1.73209357261658,False,50,65,6
installateur,0.943376302719116,False,50,65,6
dokter,0.888479053974152,False,50,65,6
artiest,1.3636736869812,False,50,65,6
visser,1.31200611591339,False,50,65,6
muzikant,0.55937135219574,False,50,65,6
ober,1.07139933109283,False,50,65,6
barman,1.92210733890533,False,50,65,6
monteur,1.60772061347961,False,50,65,6
neuroloog,1.61041414737701,False,50,65,6
wetenschapper,1.68694221973419,False,50,65,6
serveerster,1.23086750507355,False,50,65,6
kapitein,0.469956338405609,False,23,65,8
goochelaar,1.03589344024658,False,23,65,8
clown,0.684400498867035,False,23,65,8
bakker,1.66939783096313,False,23,65,8
slager,0.706469297409058,False,23,65,8
monteur,1.46471476554871,False,23,65,8
dronkaard,1.85678339004517,False,23,65,8
illustrator,1.61263227462769,False,23,65,8
kloosterling,1.75082528591156,False,23,65,8
graficus,0.889418661594391,False,23,65,8
missionaris,1.33175885677338,False,23,65,8
dokter,1.06790041923523,False,23,65,8
landloper,1.47259485721588,False,23,65,8
chirurg,0.930388808250427,False,23,65,8
schilder,1.03430008888245,False,23,65,8
kruidenier,1.02901005744934,False,23,65,8
monnik,1.32242250442505,False,23,65,8
kluizenaar,0.407280504703522,False,23,65,8
kunstenaar,1.41207039356232,False,23,65,8
internist,1.27429962158203,False,23,65,8
installateur,1.40818643569946,False,23,65,8
neuroloog,1.79599225521088,False,23,65,8
groenteboer,1.86237621307373,False,23,65,8
